ID,MTH1001,MTH1002,MTH1003,MTH1004
0,Yes,Yes,Yes,Yes
1,Yes,Yes,Yes,Yes
2,Yes,Yes,Yes,Yes
3,Yes,Yes,Yes,Yes
4,Yes,Yes,Yes,Yes
5,Yes,Yes,Yes,Yes
6,Yes,Yes,No,No
7,Yes,Yes,No,No
8,Yes,Yes,Yes,Yes
9,Yes,Yes,Yes,Yes
10,Yes,Yes,No,Yes
11,Yes,Yes,Yes,Yes
12,Yes,Yes,No,Yes
13,Yes,Yes,Yes,Yes
14,Yes,Yes,Yes,Yes
15,Yes,Yes,Yes,Yes
16,Yes,Yes,Yes,Yes
17,Yes,Yes,No,No
18,Yes,Yes,Yes,Yes
19,Yes,Yes,Yes,Yes
20,Yes,Yes,Yes,Yes
21,Yes,Yes,No,No
22,Yes,Yes,Yes,Yes
23,Yes,Yes,Yes,Yes
24,Yes,Yes,Yes,Yes
25,Yes,Yes,No,No
26,Yes,Yes,No,Yes
27,Yes,Yes,Yes,Yes
28,Yes,Yes,No,No
29,Yes,Yes,No,No
30,Yes,Yes,No,No
31,Yes,Yes,Yes,Yes
32,Yes,Yes,Yes,Yes
33,Yes,Yes,No,No
34,Yes,Yes,Yes,Yes
35,Yes,Yes,Yes,Yes
36,Yes,Yes,Yes,Yes
37,Yes,Yes,Yes,Yes
38,Yes,Yes,Yes,Yes
39,Yes,Yes,Yes,Yes
40,Yes,Yes,Yes,Yes
41,Yes,Yes,Yes,Yes
42,Yes,Yes,No,No
43,Yes,Yes,Yes,Yes
44,Yes,Yes,No,No
45,Yes,Yes,Yes,Yes
46,Yes,Yes,Yes,Yes
47,Yes,Yes,Yes,Yes
48,Yes,Yes,Yes,Yes
49,Yes,Yes,Yes,Yes
50,Yes,Yes,Yes,Yes
51,Yes,Yes,Yes,Yes
52,Yes,Yes,Yes,Yes
53,Yes,Yes,Yes,Yes
54,Yes,Yes,Yes,Yes
55,Yes,Yes,No,No
56,Yes,Yes,Yes,Yes
57,Yes,Yes,Yes,Yes
58,Yes,Yes,Yes,Yes
59,Yes,Yes,Yes,Yes
60,Yes,Yes,Yes,Yes
61,Yes,Yes,Yes,Yes
62,Yes,No,No,No
63,Yes,Yes,Yes,Yes
64,Yes,Yes,No,No
65,Yes,Yes,Yes,Yes
66,Yes,Yes,Yes,Yes
67,Yes,Yes,Yes,Yes
68,Yes,Yes,Yes,Yes
69,Yes,Yes,Yes,Yes
70,Yes,Yes,Yes,Yes
71,Yes,Yes,Yes,Yes
72,Yes,Yes,Yes,Yes
73,Yes,Yes,Yes,Yes
74,Yes,Yes,Yes,Yes
75,Yes,Yes,Yes,Yes
76,Yes,Yes,Yes,Yes
77,Yes,Yes,Yes,Yes
78,Yes,Yes,No,No
79,Yes,Yes,Yes,Yes
80,Yes,Yes,Yes,Yes
81,Yes,Yes,Yes,Yes
82,Yes,Yes,Yes,Yes
83,Yes,Yes,Yes,Yes
84,Yes,Yes,No,No
85,Yes,Yes,Yes,Yes
86,Yes,Yes,Yes,Yes
87,Yes,Yes,Yes,Yes
88,Yes,Yes,Yes,Yes
89,Yes,Yes,No,No
90,Yes,Yes,No,Yes
91,Yes,Yes,Yes,Yes
92,Yes,Yes,Yes,Yes
93,Yes,Yes,No,No
94,Yes,Yes,No,No
95,Yes,Yes,Yes,Yes
96,Yes,Yes,No,No
97,Yes,Yes,Yes,Yes
98,Yes,No,No,No
99,Yes,Yes,Yes,Yes
100,Yes,Yes,Yes,Yes
101,Yes,Yes,Yes,Yes
102,Yes,Yes,No,No
103,Yes,Yes,Yes,Yes
104,Yes,Yes,Yes,Yes
105,Yes,Yes,Yes,Yes
106,Yes,Yes,No,No
107,Yes,Yes,Yes,Yes
108,Yes,Yes,Yes,Yes
109,Yes,No,No,No
110,Yes,Yes,Yes,Yes
111,Yes,Yes,Yes,Yes
112,Yes,Yes,Yes,Yes
113,Yes,Yes,No,No
114,Yes,Yes,No,No
115,Yes,Yes,No,No
116,Yes,Yes,Yes,Yes
117,Yes,Yes,Yes,Yes
118,Yes,Yes,Yes,Yes
119,Yes,Yes,Yes,Yes
120,Yes,Yes,Yes,Yes
121,Yes,Yes,Yes,Yes
122,Yes,Yes,Yes,Yes
123,Yes,Yes,Yes,Yes
124,Yes,No,No,No
125,Yes,Yes,Yes,Yes
126,Yes,Yes,Yes,Yes
127,Yes,Yes,Yes,Yes
128,Yes,Yes,Yes,Yes
129,Yes,Yes,Yes,Yes
130,Yes,Yes,Yes,Yes
131,Yes,Yes,Yes,Yes
132,Yes,Yes,Yes,Yes
133,Yes,Yes,Yes,Yes
134,Yes,Yes,Yes,Yes
135,Yes,Yes,Yes,Yes
136,Yes,Yes,Yes,Yes
137,Yes,Yes,Yes,Yes
138,Yes,Yes,Yes,Yes
139,Yes,Yes,No,No
140,Yes,Yes,Yes,Yes
141,Yes,Yes,No,No
142,Yes,Yes,No,No
143,Yes,Yes,Yes,Yes
144,Yes,Yes,No,No
145,Yes,Yes,Yes,Yes
146,Yes,Yes,No,No
147,Yes,Yes,Yes,Yes
148,Yes,Yes,No,No
149,Yes,Yes,Yes,Yes
150,Yes,Yes,Yes,Yes
151,Yes,Yes,Yes,Yes
152,Yes,Yes,Yes,Yes
153,Yes,Yes,Yes,Yes
154,Yes,Yes,Yes,Yes
155,Yes,Yes,Yes,Yes
156,Yes,Yes,Yes,Yes
157,Yes,Yes,Yes,Yes
158,Yes,Yes,Yes,Yes
159,Yes,Yes,Yes,Yes
160,Yes,Yes,Yes,Yes
161,Yes,Yes,Yes,Yes
162,Yes,Yes,No,No
163,Yes,Yes,Yes,Yes
